y_true_id;y_prev_id;filter_col;id_col;error;error_abs;sum_target;sum_error;prop.y_true_id;prop.error;actual_neg;Sa;Er
1238.0;887.3208533793872;2018-11-01;66416903;350.67914662061276;350.67914662061276;10368.0;3272.4484778460646;0.11940586419753087;0.10716109023401059;-1238.0;0.11940586419753087;0.10716109023401059
980.0;2.089191111347088;2018-11-01;82010151;977.9108088886529;977.9108088886529;10368.0;3272.4484778460646;0.09452160493827161;0.29883153715297506;-980.0;0.21392746913580246;0.40599262738698566
637.0;636.0991974354131;2018-11-01;70255752;0.9008025645869111;0.9008025645869111;10368.0;3272.4484778460646;0.061439043209876545;0.0002752686774704615;-637.0;0.275366512345679;0.4062678960644561
629.0;732.0260857405729;2018-11-01;70755272;-103.02608574057285;103.02608574057285;10368.0;3272.4484778460646;0.06066743827160494;0.03148287480705729;-629.0;0.3360339506172839;0.43775077087151343
493.0;353.51100851698794;2018-11-01;69239730;139.48899148301206;139.48899148301206;10368.0;3272.4484778460646;0.04755015432098766;0.04262526741897679;-493.0;0.38358410493827155;0.48037603829049025
398.0;385.36059656463516;2018-11-01;70255766;12.63940343536484;12.63940343536484;10368.0;3272.4484778460646;0.03838734567901234;0.003862368963463142;-398.0;0.4219714506172839;0.4842384072539534
302.0;493.8741812603051;2018-11-01;65742852;-191.87418126030508;191.87418126030508;10368.0;3272.4484778460646;0.029128086419753087;0.058633216858649286;-302.0;0.451099537037037;0.5428716241126027
271.0;245.94631243949144;2018-11-01;80126509;25.053687560508564;25.053687560508564;10368.0;3272.4484778460646;0.02613811728395062;0.007655945610792007;-271.0;0.4772376543209876;0.5505275697233947
267.0;262.2647337953558;2018-11-01;69028421;4.7352662046441765;4.7352662046441765;10368.0;3272.4484778460646;0.025752314814814815;0.0014470101627882443;-267.0;0.5029899691358024;0.5519745798861829
255.0;260.57105424645897;2018-11-01;70255731;-5.571054246458971;5.571054246458971;10368.0;3272.4484778460646;0.02459490740740741;0.001702411599196775;-255.0;0.5275848765432098;0.5536769914853797
249.0;274.15888967794774;2018-11-01;70915145;-25.15888967794774;25.15888967794774;10368.0;3272.4484778460646;0.024016203703703703;0.007688093440819394;-249.0;0.5516010802469136;0.5613650849261992
232.0;190.7522556847332;2018-11-01;74648364;41.2477443152668;41.2477443152668;10368.0;3272.4484778460646;0.022376543209876542;0.012604551177660156;-232.0;0.5739776234567902;0.5739696361038593
229.0;220.8304479869134;2018-11-01;70255710;8.169552013086587;8.169552013086587;10368.0;3272.4484778460646;0.022087191358024692;0.002496464671145506;-229.0;0.5960648148148149;0.5764661007750048
229.0;251.77724307085896;2018-11-01;74493384;-22.777243070858958;22.777243070858958;10368.0;3272.4484778460646;0.022087191358024692;0.006960306090395962;-229.0;0.6181520061728396;0.5834264068654008
229.0;177.45708042738303;2018-11-01;80104521;51.54291957261697;51.54291957261697;10368.0;3272.4484778460646;0.022087191358024692;0.015750567173648117;-229.0;0.6402391975308643;0.5991769740390489
226.0;214.06338488097924;2018-11-01;69594910;11.936615119020757;11.936615119020757;10368.0;3272.4484778460646;0.02179783950617284;0.0036476097942655687;-226.0;0.6620370370370372;0.6028245838333145
210.0;124.81380899989708;2018-11-01;80055451;85.18619100010292;85.18619100010292;10368.0;3272.4484778460646;0.02025462962962963;0.026031331456186205;-210.0;0.6822916666666669;0.6288559152895007
203.0;214.34368208018523;2018-11-01;68322520;-11.343682080185232;11.343682080185232;10368.0;3272.4484778460646;0.019579475308641976;0.003466420375135036;-203.0;0.7018711419753089;0.6323223356646357
202.0;245.02873357829085;2018-11-01;64133391;-43.028733578290854;43.028733578290854;10368.0;3272.4484778460646;0.019483024691358024;0.01314878870350084;-202.0;0.7213541666666669;0.6454711243681366
192.0;180.3133731974505;2018-11-01;69654263;11.686626802549512;11.686626802549512;10368.0;3272.4484778460646;0.018518518518518517;0.003571217967728459;-192.0;0.7398726851851853;0.649042342335865
185.0;129.12076511455982;2018-11-01;65752911;55.879234885440184;55.879234885440184;10368.0;3272.4484778460646;0.017843364197530864;0.017075665289685498;-185.0;0.7577160493827162;0.6661180076255505
175.0;124.02458200312175;2018-11-01;80127294;50.97541799687825;50.97541799687825;10368.0;3272.4484778460646;0.016878858024691357;0.015577149141376374;-175.0;0.7745949074074076;0.6816951567669269
170.0;123.96168676978716;2018-11-01;70255745;46.038313230212836;46.038313230212836;10368.0;3272.4484778460646;0.016396604938271605;0.014068460830440756;-170.0;0.7909915123456791;0.6957636175973677
167.0;154.44665719470976;2018-11-01;69725145;12.553342805290242;12.553342805290242;10368.0;3272.4484778460646;0.016107253086419752;0.003836070419526632;-167.0;0.8070987654320989;0.6995996880168943
159.0;161.9290644401743;2018-11-01;66192686;-2.929064440174301;2.929064440174301;10368.0;3272.4484778460646;0.015335648148148149;0.0008950681607376199;-159.0;0.822434413580247;0.7004947561776319
130.0;131.5696761035989;2018-11-01;70815633;-1.5696761035989084;1.5696761035989084;10368.0;3272.4484778460646;0.01253858024691358;0.0004796641151802255;-130.0;0.8349729938271606;0.7009744202928121
129.0;115.16174308861315;2018-11-01;70255724;13.83825691138685;13.83825691138685;10368.0;3272.4484778460646;0.01244212962962963;0.004228716511526327;-129.0;0.8474151234567903;0.7052031368043384
120.0;229.90988786034126;2018-11-01;80126506;-109.90988786034126;109.90988786034126;10368.0;3272.4484778460646;0.011574074074074073;0.03358643798501734;-120.0;0.8589891975308643;0.7387895747893558
